coding	meaning
Y07ae	28 day history of college/education system attendance
Y07b1	Self reported physical health status score
Y07b2	Self reported quality of life score
Y07b4	Not known if client is employed
Y07b8	Not shared needles or paraphernalia in last 28 days
Y07bb	Not had acute housing problem (been homeless) in last 28 days
Y07bc	Not been at risk of eviction within past 28 days
Y07bd	Not injected in the last 28 days
Y07c3	average amount of alcohol on a using day
Y07c4	average amount of opiates on a using day
Y07c5	average amount of crack on a using day
Y07c6	average amount of cocaine on a using day
Y07c7	average amount of amphetamines on a using day
Y07c8	average amount of cannabis on a using day
Y07c9	average amount of other problem substance on a using day
Y07ca	Audio test right ear 6000 Hz
Y07cb	Audio test left ear 6000 Hz
Y07cc	Not At All
Y07cd	Several Days
Y07ce	More Than Half The Days
Y07cf	Nearly Every Day
Y07d3	British sign language
Y07d9	District nurse taken additional blood
Y07db	District nurse to take blood for
Y07de	District nurse to obtain and test urine sample for microalbuminuria
Y07df	District nurse to take blood for LFT
Y07e1	District nurse to take blood for urea & electrolyte (renal)
Y07e2	District nurse to take blood for blood glucose
Y07e3	District nurse to take blood for HBA1C
Y07e4	Smear Reason: Previous Inadequate Smear
Y07e9	Cystic fibrosis positive
Y07ea	Cystic fibrosis negative
Y07ee	Cystic Fibrosis Result: Further investigation required
Y07f0	Angina Grade 1 - No Limitation Of Ordinary Activity
Y07f1	Angina Grade 2 - Slight Limitation Of Ordinary Activity
Y07f2	Angina Grade 3 - Marked Limitation Of Ordinary Activity
Y07f3	Angina Grade 4 - No Physical Activity Possible
Y07fa	Does not take drugs intravenously
Y07fb	Has not previously used drugs
Y07fc	Declined referral to Drugs Service
Y07fe	Declined referral for Mental Health Assessment
Y07ff	Has not had Meningitis C Vaccination
Y0800	Has not had BCG Vaccination
Y0801	First Reception Screening (Positive Response)
Y0810	Ishihara Test
Y0815	Cover test - No deviation near. Distance testing not possible
Y081c	Eye movement - grossly normal
Y081f	Other eye abnormality - referral indicated (lid and pupil abnormalities etc)
Y0821	Pseudo-squint
Y082f	Stereopsis standard 340 seconds
Y0835	O/E - visual acuity both eyes = 6/5
Y0845	O/E - visual acuity L-eye = 2/6
Y0848	O/E - visual acuity L-eye = 2/BB
Y0864	O/E - visual acuity R-eye = 4/6
Y086b	O/E - visual acuity both eyes = 5/9
Y0872	O/E - visual acuity L-eye = 5/6
Y0875	O/E - visual acuity L-eye = 5/18
Y0878	O/E - visual acuity L-eye = 5/60
Y087c	O/E - visual acuity R-eye = 5/5
Y087d	O/E - visual acuity R-eye = 5/6
Y087e	O/E - visual acuity R-eye = 5/9
Y0883	O/E - visual acuity R-eye = 5/60
Y0885	O/E - visual acuity both eyes = 6/5
Y088a	O/E - visual acuity L-eye = 6/15
Y088d	O/E - visual acuity R-eye = 6/15
Y0892	O/E - visual acuity L-eye = 9/6
Y0895	O/E - visual acuity R-eye = 9/6
Y0898	Recorded cause of certified sickness absence from work
Y089c	O/E - visual acuity R-eye = 6/61
Y089d	O/E - visual acuity R-eye = 6/40
Y08a0	O/E - visual acuity R-eye = 6/16
Y08a3	O/E - visual acuity L-eye = 6/96
Y08aa	O/E - visual acuity L-eye = 6/20
Y08ab	O/E - visual acuity L-eye = 6/19
Y08ac	O/E - visual acuity L-eye = 6/16
Y08ad	O/E - visual acuity L-eye = 6/08
Y08b0	O/E - visual acuity L-eye = 6/75
Y08b1	First Fendrix vaccination
Y08b2	Second Fendrix vaccination
Y08b3	Third Fendrix vaccination
Y08b5	Fourth Fendrix vaccination
Y08b6	Twinrix 1
Y08b7	Twinrix 2
Y08b8	Twinrix 3
Y08b9	Twinrix Reinforcing
Y08ba	First Tab vaccination
Y08bb	Second Tab vaccination
Y08c1	Duration of sickness certificate (Weeks)
Y08c2	Duration of sickness certificate (Months)
Y08c3	Inactivated Influenza Vaccine (Split Virion) Booster
Y08c4	Dukoral 1
Y08c5	Dukoral 2
Y08ca	Domestic violence in the home questionnaire - No, never
Y08d1	MFV-JECT Booster
Y08d6	Has not seen Doctor in previous few months
Y08d7	Is not receiving prescribed medication
Y08db	Has not been homeless in the past year
Y08dd	Has no concerns over their physical health
Y08e4	Does not have a psychiatric nurse or care worker
Y08e6	Has not received medication for mental health problems
Y08eb	Has not been referred for Mental Health Assessment
Y08ec	Not known if had MMR Vaccination
Y08ed	Not known if had Meningitis C Vaccination
Y08f2	Not known if had Tetanus vaccination
Y08f5	Not had Influenza vaccination
Y08f6	Not known if had Influenza vaccination
Y08fb	Not known if had Pneumovax II vaccine injection
Y08fc	Not had Pneumovax II vaccine injection
Y08ff	No family history of high blood pressure
Y0900	No family history of diabetes Mellitus
Y0901	Inhaler technique not observed
Y090e	O/E - visual acuity L eye = 4/6
Y091b	O/E - visual acuity R-eye = 4/60
Y0922	O/E - visual acuity R-eye = 6/13
Y0929	Chest Pain: unknown
Y092a	Chest pain: none
Y092e	Tuberculosis (BCG) vaccination: unknown
Y092f	Tetanus vaccination required
Y0938	Refer to accident and emergency department: no
Y093b	Ambulance request for patient: no
Y093d	Tuberculosis: no
Y093f	Diabetes mellitus: no
Y0941	Epilepsy: no
Y0943	Visual hallucinations: no
Y0944	Asthma: no
Y0946	Over the counter products: no
Y094b	Physical violence: no
Y094c	Impaired mobility: no
Y094e	Suicide risk: no
Y095a	Foot callus: no
Y095c	Depressive disorder: no
Y095e	Charcots arthropathy: no
Y0960	Requires a hepatitis B vaccination
Y0963	General wellbeing - Problem
Y0964	General wellbeing - Is worsening
Y0965	General wellbeing - Has worsened
Y0966	General wellbeing -Is Stable
Y0967	General wellbeing - Satisfactory
Y096b	Hepatitis B status - Negative
Y096c	Hepatitis B status - Unknown
Y096d	Hepatitis B status - Positive
Y096f	Hepatitis C status -Positive
Y0970	Hepatitis C status - Negative
Y0973	Alcohol abuse: no
Y0978	Advice to continue with treatment : no
Y097d	Self-neglect: no
Y097e	Unspecified injury of wrist and hand: no
Y0982	Smoking status at 4 weeks - Stopped smoking
Y0983	Smoking status at 4 weeks - Smoker
Y0984	Smoking status at 4 weeks - Ex-smoker
Y0987	Smoking status at 4 weeks - Smoking reduced
Y0988	Smoking status at 4 weeks - Smoking Cessation Advice Outcome -Not Quit
Y098a	Smoking status at 4 weeks - Smoking restarted
Y098b	Smoking status at 4 weeks - Motivation to quit smoking
Y098c	Smoking status at 4 weeks - Smoking Cessation Advice Outcome -Quit
Y098d	Smoking status between 4 and 52 weeks - Attends Smoking Cessation Clinic in Practice
Y098e	Smoking status between 4 and 52 weeks - Smoking Cessation Advice Outcome - Quit
Y098f	Smoking status between 4 and 52 weeks - Keeps trying to stop smoking
Y0992	Smoking status between 4 and 52 weeks - Stopped smoking
Y0993	Smoking status between 4 and 52 weeks - Current non-smoker
Y0995	Smoking status between 4 and 52 weeks - Date ceased smoking
Y0997	Smoking status between 4 and 52 weeks - Smoking restarted
Y0999	Smoking status between 4 and 52 weeks - Did not attend smoking cessation clinic
Y099a	Smoking status between 4 and 52 weeks - Smoking Cessation Advice Outcome - Not Quit
Y099d	Smoking status at 52 weeks - Smoking Cessation Advice Outcome - Quit
Y099f	Smoking status at 52 weeks - Current non-smoker
Y09a3	At risk of DSH - deliberate self harm: no
Y09a4	Risk of self neglect: no
Y09a5	Drug compliance poor: no
Y09a8	Urine screen for chlamydia: no
Y09a9	H/O: drug abuse: no
Y09ab	Wants to stop smoking: no
Y09ac	Dizziness: no
Y09ae	Dyspnoea: no
Y09af	Palpitations: no
Y09b2	Insomnia: no
Y09b3	Auditory hallucinations : no
Y09b7	Impaired hearing : no
Y09ba	Ability to answer yes / no questions: no
Y09bb	Further assessment required: no
Y09c4	Follow up outpatient clinic - : no
Y09cb	Medical/psychiatric report not required: no
Y09cc	Health information not received from outside source: no
Y09da	Patient consented to sharing of information: no
Y09db	Odyssey triage recorded
Y09dc	Born by cephalic delivery NOS
Y09dd	Pre 3-5 year routine vision check
Y09df	Clinical domain review (diabetes YOC)
Y09e0	Emotional domain review (diabetes YOC)
Y09e1	Social domain review (diabetes YOC)
Y09e2	Behavioural domain review (diabetes YOC)
Y09e3	Knowledge / health beliefs domain review (diabetes YOC)
Y09e4	Patient main issue today (diabetes YOC)
Y09f1	GP2GP EhrEmpty consultation
Y09f2	Hep B Vacc - Not Offered
Y09f4	Injects with needle or syringe used by someone else
Y09fb	Patient has not previously used drugs
Y0a00	Frequency of A&E encounter: no
Y0a03	Varivax live vaccine 1
Y0a04	Varivax live vaccine 2
Y0a05	Varicella zoster live vaccine 1
Y0a0c	Hepatitis B 20mcg dose 2
Y0a0d	QTcB Interval Duration
Y0a0e	RR Interval Duration
Y0a11	Brugada Syndrome
Y0a15	Booster Low dose Diphtheria, Tetanus & Pertussis
Y0a16	1st Booster Low dose Diphtheria, Tetanus & Pertussis
Y0a17	2nd Booster Low dose Diphtheria, Tetanus & Pertussis
Y0a19	Smear Reason: Follow-Up After Treatment
Y0a1a	First low dose diphth, tet, acellular pert and inactiv polio vaccination
Y0a1e	Low dose diphth, tet, acellular pert and inactiv polio vaccination first booster
Y0a22	Cervical cytology brush (Cervex type)
Y0a23	First dTP + Polio vaccination (LDD)
Y0a24	Second dTP + Polio vaccination (LDD)
Y0a25	Third dTP + Polio vaccination (LDD)
Y0a26	Booster dTP + Polio vaccination (LDD)
Y0a2c	Booster dTaP vaccination (LDD)
Y0a32	Booster dTP + Polio + Hib vaccination (LDD)
Y0a42	High dose methadone replacement
Y0a48	Hepatitis B 20 mcg/ml - Adolescent 1
Y0a4b	Attended BBA by midwife or doctor
Y0a4d	Planned Home Birth attended by Midwife or doctor
Y0a4e	Planned Home Birth unattended by Midwife or doctor
Y0a4f	Cervical smear - human papilloma virus infection
Y0a54	First Engerix B paediatric prefilled syringe 0.5ml vaccination
Y0a55	Second Engerix B paediatric prefilled syringe 0.5ml vaccination
Y0a56	Third Engerix B paediatric prefilled syringe 0.5ml vaccination
Y0a57	Booster Engerix B paediatric prefilled syringe 0.5ml vaccination
Y0a58	GFR calculated Cockcroft-Gault formula
Y0a65	Sensory perception - No Impairment
Y0a6c	Moisture - Constantly Moist
Y0a6d	Activity - Walks Frequently
Y0a70	Activity - Bedbound
Y0a71	Mobility - No Limitations
Y0a72	Mobility - Slightly Limited
Y0a73	Mobility - Very Limited
Y0a74	Mobility - Completely Immobile
Y0a75	Nutrition - Excellent
Y0a76	Nutrition - Adequate
Y0a77	Nutrition - Probably Inadequate
Y0a7c	Smear Reason: Opportunistic
Y0a7d	Smear Reason: Other
Y0a7e	Learning difficulties health assessment
Y0a7f	Pressure risk assessment (Braden scale) - Done
Y0a80	Pressure risk assessment (Braden scale) - Not Done
Y0a81	Pressure risk assessment (Braden scale) - Declined
Y0a82	Pressure induced skin damage present
Y0a8a	Joint British Societies cardiovascular 10yr risk
Y0a8b	Joint British Societies adjusted cardiovascular 10yr risk
Y0a8c	Inactivated Influenza Vaccine (Split Virion) (CSL Biotherapies) Part 1
Y0a8d	Inactivated Influenza Vaccine (Split Virion) (CSL Biotherapies) Booster
Y0a8e	First rabies vaccination (Verorab)
Y0a8f	Second rabies vaccination (Verorab)
Y0a90	Third rabies vaccination (Verorab)
Y0a91	Rabies booster vaccination (Verorab)
Y0a93	Clinical Assessment Urgency - urgent (20mins)
Y0a96	Definitive Clinical Assessment Urgency - urgent (2hours)
Y0a97	Definitive Clinical Assessment Urgency - less urgent (6hours)
Y0a98	Attending satellite clinic
Y0a99	24 hour ECG fitted
Y0a9a	Referral into Service
Y0a9b	Referral into GPSI service
Y0a9c	Referral into Cardiology GPSI service - Full service request
Y0a9d	Appointment with GPSI in echocardiography
Y0a9e	Waited 2-4 weeks
Y0a9f	24 hour ECG removed
Y0aa0	Referral into Cardiology GPSI - Echocardiography request
Y0aa1	Seen in minor surgery - Plastic clinic
Y0aa2	Referral into Cardiology GPSI - 24 hour ECG request
Y0aa3	Seen in satellite clinic
Y0aa4	Waited less than 2 weeks
Y0aa5	Waited 4-6 weeks
Y0aa6	Waited 6-8 weeks
Y0aa7	Excision margin
Y0aaa	GSF status red
Y0aab	GSF status amber
Y0aac	GSF status green
Y0ab3	Patient status alert: special notes
Y0ab9	TOP Care Coordination - Yes
Y0abd	None of the children live with client
Y0abe	Not a parent
Y0abf	Client declined to answer
Y0ac0	Analysis & interpretation of ambulatory blood pressure profiles
Y0ac1	Interpretation & evaluation of basic Spirometry
Y0ac2	Hep B Vacc- Assessed as not appropriate to offer
Y0ac3	Hep C test - Assessed as not appropriate to offer
Y0ac5	Employment Status Not Disclosed
Y0ac6	Employment Status Not Applicable
Y0ac7	Hours Worked Per Week Not Disclosed
Y0aca	Non-Settled
Y0ace	Mainstream Housing
Y0ad0	Placed In Temporary Accommodation By Local Authority
Y0ad2	Supported Accommodation
Y0ad9	Currently Residing: Specialist rehabilitation/recovery
Y0ae4	Sheltered Housing For Older People
Y0ae5	Lives In Extra Care Sheltered Housing
Y0ae7	Housing Status Not Applicable
Y0ae8	Accommodation Status Not Known
Y0ae9	There are no plans for social worker involvement
Y0aea	There are plans for social worker involvement
Y0aeb	There are no plans for the patient to use a local Authority day centre between this review and next
Y0aed	There are no plans for the patient to use a sheltered work facility between this review and next
Y0af1	There are no plans for the patient to receive visits from local authority domiciliary care workers between this review and next
Y0af2	There are plans for the patient to receive visits from local authority domiciliary care worker
Y0af3	Referral Review
Y0af7	CPA discharge: Patient Died
Y0afa	CPA discharge: Transfer To Other Health Provider
Y0afb	Continuing risk of Hepatitis B
Y0b07	Intended delivery - In NHS hospital - Delivery facilities associated with consultant/GMP/midwife ward inclusive of any combination of two of the professionals mentioned
Y0b0a	Intended delivery - In other hospital or institution
Y0b22	Audio examination
Y0b31	YP involved in Self Harm at Treatment Start: not known
Y0b65	Social services first contact with client
Y0b8d	Main communication method British signing language
Y0b93	Cervarix 2
Y0b9b	Screened by Ophthalmic Optician
Y0b9c	Screened by Consultant Physician
Y0b9f	Attends Vitamin D Deficiency Clinic
Y0ba0	Bone mineral density
Y0ba6	Newborn blood spot - Sickle cell repeat/further sample required: transfusion - status 03
Y0bae	Pandemic influenza vacc offered
Y0baf	Pandemic influenza vacc advised
Y0bb2	First Pandemrix Vaccination
Y0bb3	Second Pandemrix Vaccination
Y0bb4	Patient withdrawn from local study
Y0be3	Pandemrix consent
Y0be4	Pandemrix refusal
Y0be5	Canadian Study of Health and Ageing (CSHA) Clinical Frailty Scale
Y0be7	Stop Smoking Services - Successfully quit where non-smoking status confirmation attempted by CO validation
Y0be8	Stop Smoking Services - Successfully quit where non-smoking status confirmed by CO validation
Y0beb	Stop Smoking Services - Intervention Settings (1H)
Y0bed	Stop Smoking Services - Never worked or unemployed for over 1 year
Y0bee	Stop Smoking Services - Retired
Y0bef	Stop Smoking Services - Sick/Disabled and unable to return to work
Y0bf0	Stop Smoking Services - Home carer (Unpaid)
Y0bf1	Stop Smoking Services - In Managerial/Professional occupation
Y0bf2	Stop Smoking Services - In Routine/Manual occupation
Y0bf3	Stop Smoking Services - Unable to code
Y0bf4	Stop Smoking Services - Attended closed groups
Y0bf5	Stop Smoking Services - Attended open groups
Y0bf6	Stop Smoking Services - Attended drop-in clinics
Y0bf7	Stop Smoking Services - Attended one to ones
Y0bf9	Stop Smoking Services - Dealt with through telephone support sessions
Y0bfa	Stop Smoking Services - Using Stop Smoking Services setting
Y0bfb	Stop Smoking Services - Using pharmacy setting
Y0c00	Stop Smoking Services - In Intermediate occupations
Y0c01	Stop Smoking Services - Using primary care setting
Y0c02	Frequency of hypoglycaemic episodes (weekly)
Y0c08	Phenindione Dose
Y0c0c	Head injury information given verbally to patient
